,Airline,scores,compound,sent_type,Airline_Mentioned,Attribute_Mentioned,delta_airline,american_airline,united_airline,spirit_airline,air_canada,ryanair,frontier_airline,emirates_airline,southwest_airline,british_airway,comfort,in-flight_entertainment,customer_service,monetary_values,cleanliness,check-in_boarding,food_beverage
13279,Frontier_Airline,"{'neg': 0.227, 'neu': 0.738, 'pos': 0.035, 'compound': -0.9365}",-0.9365,0,['frontier_airline'],"['check-in_boarding', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13280,Frontier_Airline,"{'neg': 0.133, 'neu': 0.846, 'pos': 0.021, 'compound': -0.9039}",-0.9039,0,['frontier_airline'],"['check-in_boarding', 'food_beverage', 'monetary_values', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
13281,Frontier_Airline,"{'neg': 0.054, 'neu': 0.937, 'pos': 0.01, 'compound': -0.6369}",-0.6369,0,['frontier_airline'],"['customer_service', 'monetary_values', 'comfort', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
13282,Frontier_Airline,"{'neg': 0.131, 'neu': 0.851, 'pos': 0.019, 'compound': -0.8689}",-0.8689,0,['frontier_airline'],['monetary_values'],0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13283,Frontier_Airline,"{'neg': 0.143, 'neu': 0.781, 'pos': 0.076, 'compound': -0.7097}",-0.7097,0,['frontier_airline'],"['check-in_boarding', 'customer_service']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13284,Frontier_Airline,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.8584}",0.8584,2,['frontier_airline'],['customer_service'],0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13285,Frontier_Airline,"{'neg': 0.107, 'neu': 0.798, 'pos': 0.095, 'compound': -0.2359}",-0.2359,0,['frontier_airline'],"['food_beverage', 'monetary_values']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
13286,Frontier_Airline,"{'neg': 0.125, 'neu': 0.827, 'pos': 0.048, 'compound': -0.9113}",-0.9113,0,['frontier_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
13287,Frontier_Airline,"{'neg': 0.109, 'neu': 0.846, 'pos': 0.046, 'compound': -0.4404}",-0.4404,0,"['frontier_airline', 'united_airline']","['check-in_boarding', 'monetary_values']",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
13288,Frontier_Airline,"{'neg': 0.075, 'neu': 0.882, 'pos': 0.043, 'compound': -0.5423}",-0.5423,0,['frontier_airline'],"['check-in_boarding', 'customer_service', 'comfort']",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
