,Airline_Mentioned,Attribute_Mentioned
327,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
328,['delta_airline'],"['check-in_boarding', 'customer_service']"
329,['delta_airline'],"['check-in_boarding', 'customer_service']"
330,['delta_airline'],"['monetary_values', 'check-in_boarding']"
331,['delta_airline'],"['customer_service', 'check-in_boarding', 'comfort']"
332,['delta_airline'],"['check-in_boarding', 'customer_service']"
333,['delta_airline'],"['check-in_boarding', 'comfort']"
334,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
335,['delta_airline'],"['check-in_boarding', 'customer_service']"
336,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
337,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
338,['delta_airline'],"['check-in_boarding', 'customer_service']"
339,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
340,['delta_airline'],"['in-flight_entertainment', 'check-in_boarding', 'customer_service']"
341,['delta_airline'],"['comfort', 'monetary_values']"
342,['delta_airline'],"['comfort', 'check-in_boarding', 'customer_service']"
343,['delta_airline'],['check-in_boarding']
344,['delta_airline'],"['monetary_values', 'check-in_boarding']"
345,['delta_airline'],"['check-in_boarding', 'monetary_values']"
346,['delta_airline'],"['monetary_values', 'check-in_boarding']"
347,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
348,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
349,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
350,['delta_airline'],"['check-in_boarding', 'customer_service']"
351,['delta_airline'],['check-in_boarding']
352,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
353,['delta_airline'],['customer_service']
354,['delta_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
355,['delta_airline'],"['check-in_boarding', 'monetary_values', 'comfort']"
356,['delta_airline'],"['check-in_boarding', 'comfort']"
357,['delta_airline'],"['customer_service', 'monetary_values']"
358,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service', 'food_beverage']"
359,['delta_airline'],"['check-in_boarding', 'monetary_values']"
360,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
361,['delta_airline'],"['check-in_boarding', 'monetary_values']"
362,['delta_airline'],['monetary_values']
363,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
364,"['delta_airline', 'american_airline']",['monetary_values']
365,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
366,['delta_airline'],"['check-in_boarding', 'monetary_values']"
367,['delta_airline'],['check-in_boarding']
368,['delta_airline'],"['check-in_boarding', 'customer_service']"
369,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'comfort']"
